food_type,food,serving size,total fat dv,sodium dv,potassium [dv],carbohydrate dv,dietary fiber dv,saturated fat dv,cholesterol dv,calories,calories from fat,total fat [g],sodium [g],potassium [g],carbohydrate [g],dietary fiber [g],sugars [g],protein [g],vitamin a dv,vitamin c dv,calcium dv,iron dv,saturated fat [mg],cholesterol [mg]
fruits seafood vegetables,string,string,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
class,meta,meta,meta,meta,meta,meta,meta,meta,meta,,,,,,,,,,,,,,,
vegetables,Asparagus,5 spears (93 g/3.3 oz),0,0,7,1,8,0.0,0,20,0,0.0,0,230,4,2,2,2,10,15,2,2,0,0
vegetables,Bell Pepper,1 medium (148 g/5.3 oz),0,2,6,2,8,0.0,0,25,0,0.0,40,220,6,2,4,1,4,190,2,4,0,0
vegetables,Broccoli,1 medium stalk (148 g/5.3 oz),1,3,13,3,12,0.0,0,45,0,0.5,80,460,8,3,2,4,6,220,6,6,0,0
vegetables,Carrot,"1 carrot, 7"" long, 1 1/4"" diameter (78 g/2.8 oz)",0,3,7,2,8,0.0,0,30,0,0.0,60,250,7,2,5,1,110,10,2,2,0,0
vegetables,Cauliflower,1/6 medium head (99 g/3.5 oz),0,1,8,2,8,0.0,0,25,0,0.0,30,270,5,2,2,2,0,100,2,2,0,0
vegetables,Celery,2 medium stalks (110 g/3.9 oz),0,5,7,1,8,0.0,0,15,0,0.0,115,260,4,2,2,0,10,15,4,2,0,0
vegetables,Cucumber,1/3 medium (99 g/3.5 oz),0,0,4,1,4,0.0,0,10,0,0.0,0,140,2,1,1,1,4,10,2,2,0,0
vegetables,Green (Snap) Beans,3/4 cup cut (83 g/3.0 oz),0,0,6,2,12,0.0,0,20,0,0.0,0,200,5,3,2,1,4,10,4,2,0,0
vegetables,Green Cabbage,1/12 medium head (84 g/3.0 oz),0,1,5,2,8,0.0,0,25,0,0.0,20,190,5,2,3,1,0,70,4,2,0,0
vegetables,Green Onion,1/4 cup chopped (25 g/0.9 oz),0,0,2,1,4,0.0,0,10,0,0.0,10,70,2,1,1,0,2,8,2,2,0,0
vegetables,Iceberg Lettuce,1/6 medium head (89 g/3.2 oz),0,0,4,1,4,0.0,0,10,0,0.0,10,125,2,1,2,1,6,6,2,2,0,0
vegetables,Leaf Lettuce,1 1/2 cups shredded (85 g/3.0 oz),0,1,5,1,4,0.0,0,15,0,0.0,35,170,2,1,1,1,130,6,2,4,0,0
vegetables,Mushrooms,5 medium (84 g/3.0 oz),0,0,9,1,4,0.0,0,20,0,0.0,15,300,3,1,0,3,0,2,0,2,0,0
vegetables,Onion,1 medium (148 g/5.3 oz),0,0,5,4,12,0.0,0,45,0,0.0,5,190,11,3,9,1,0,20,4,4,0,0
vegetables,Potato,1 medium (148 g/5.3 oz),0,0,18,9,8,0.0,0,110,0,0.0,0,620,26,2,1,3,0,45,2,6,0,0
vegetables,Radishes,7 radishes (85 g/3.0 oz),0,2,5,1,4,0.0,0,10,0,0.0,55,190,3,1,2,0,0,30,2,2,0,0
vegetables,Summer Squash,1/2 medium (98 g/3.5 oz),0,0,7,1,8,0.0,0,20,0,0.0,0,260,4,2,2,1,6,30,2,2,0,0
vegetables,Sweet Corn,kernels from 1 medium ear (90 g/3.2 oz),4,0,7,6,8,0.0,0,90,20,2.5,0,250,18,2,5,4,2,10,0,2,0,0
